sentence,tokens,labels
The Rongbuk Glacier ( ) is located in the Himalaya of southern Tibet .,"['The' 'Rongbuk' 'Glacier' '(' ')' 'is' 'located' 'in' 'the' 'Himalaya'
 'of' 'southern' 'Tibet' '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0]
"The Nantlle Ridge has two Marilyns and four Hewitts on the route ; the ridge is about 8–9 miles long and the high point is Craig Cwm Silyn at 2,408 feet :","['The' 'Nantlle' 'Ridge' 'has' 'two' 'Marilyns' 'and' 'four' 'Hewitts'
 'on' 'the' 'route' ';' 'the' 'ridge' 'is' 'about' '8–9' 'miles' 'long'
 'and' 'the' 'high' 'point' 'is' 'Craig' 'Cwm' 'Silyn' 'at' '2,408' 'feet'
 ':']",[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0]
"In summer of 2008 , Marathon Oil sold its stake to Centrica for $ 416 million .","['In' 'summer' 'of' '2008' ',' 'Marathon' 'Oil' 'sold' 'its' 'stake' 'to'
 'Centrica' 'for' '$' '416' 'million' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Located in the northern section of the park , Copper Mountain is to the east of Silesia Creek and northeast of Mount Shuksan .","['Located' 'in' 'the' 'northern' 'section' 'of' 'the' 'park' ',' 'Copper'
 'Mountain' 'is' 'to' 'the' 'east' 'of' 'Silesia' 'Creek' 'and'
 'northeast' 'of' 'Mount' 'Shuksan' '.']",[0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 2 0]
"The Vashon lobe of the ice sculpted Rattlesnake Ledge , steeply carved the east and west sides of Squak Mountain , and deposited a large erratic on Cougar Mountain , Fantastic Erratic .","['The' 'Vashon' 'lobe' 'of' 'the' 'ice' 'sculpted' 'Rattlesnake' 'Ledge'
 ',' 'steeply' 'carved' 'the' 'east' 'and' 'west' 'sides' 'of' 'Squak'
 'Mountain' ',' 'and' 'deposited' 'a' 'large' 'erratic' 'on' 'Cougar'
 'Mountain' ',' 'Fantastic' 'Erratic' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 2 0 0 0 0]
"After reaching a height of over 1,200 m or 3,937 feet , the two parallel lines head down the arid foothills of the southern San Joaquin Valley and split up .","['After' 'reaching' 'a' 'height' 'of' 'over' '1,200' 'm' 'or' '3,937'
 'feet' ',' 'the' 'two' 'parallel' 'lines' 'head' 'down' 'the' 'arid'
 'foothills' 'of' 'the' 'southern' 'San' 'Joaquin' 'Valley' 'and' 'split'
 'up' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0]
It is one of several places named after Rush in Chicago ; other such places are Rush Medical College and Rush-Presbyterian-St . Luke 's Medical Center .,"['It' 'is' 'one' 'of' 'several' 'places' 'named' 'after' 'Rush' 'in'
 'Chicago' ';' 'other' 'such' 'places' 'are' 'Rush' 'Medical' 'College'
 'and' 'Rush-Presbyterian-St' '.' 'Luke' ""'s"" 'Medical' 'Center' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Mount Everest, the highest peak in the world, was formed approximately 60 million years ago when India collided with Eurasia.","['Mount' 'Everest' ',' 'the' 'highest' 'peak' 'in' 'the' 'world' ',' 'was'
 'formed' 'approximately' '60' 'million' 'years' 'ago' 'when' 'India'
 'collided' 'with' 'Eurasia' '.']",[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Retrieved November 7 , 2019 , from The National Interest website : https : //nationalinterest.org/article/terrors-south-african-front-2742","['Retrieved' 'November' '7' ',' '2019' ',' 'from' 'The' 'National'
 'Interest' 'website' ':' 'https' ':'
 '//nationalinterest.org/article/terrors-south-african-front-2742']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The two forks join in eastern Humboldt County northwest of Winnemucca , with the combined stream flowing southwest along the east side of the Santa Rosa Range to join the Humboldt approximately northeast of Winnemucca .","['The' 'two' 'forks' 'join' 'in' 'eastern' 'Humboldt' 'County' 'northwest'
 'of' 'Winnemucca' ',' 'with' 'the' 'combined' 'stream' 'flowing'
 'southwest' 'along' 'the' 'east' 'side' 'of' 'the' 'Santa' 'Rosa' 'Range'
 'to' 'join' 'the' 'Humboldt' 'approximately' 'northeast' 'of'
 'Winnemucca' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0]
Nobody went to see it . '',"['Nobody' 'went' 'to' 'see' 'it' '.' ""''""]",[0 0 0 0 0 0 0]
"In 1861 , cattle were being driven over the Sierras to feed the mining boon town of Aurora .","['In' '1861' ',' 'cattle' 'were' 'being' 'driven' 'over' 'the' 'Sierras'
 'to' 'feed' 'the' 'mining' 'boon' 'town' 'of' 'Aurora' '.']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
"In the early 1980s , the Canadian government contributed six million US dollar for the contraction of the Point Salines International , as today known as th e Maurice Bishop International Airport .","['In' 'the' 'early' '1980s' ',' 'the' 'Canadian' 'government'
 'contributed' 'six' 'million' 'US' 'dollar' 'for' 'the' 'contraction'
 'of' 'the' 'Point' 'Salines' 'International' ',' 'as' 'today' 'known'
 'as' 'th' 'e' 'Maurice' 'Bishop' 'International' 'Airport' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Before the building of the line there was a government crisis in Hesse in 1852 , because Elector Frederick William expected a bribe of 100,000 thalers from the Bernus du Fay bank before he would sign the appropriate license for the extension of the railway towards Aschaffenburg .","['Before' 'the' 'building' 'of' 'the' 'line' 'there' 'was' 'a'
 'government' 'crisis' 'in' 'Hesse' 'in' '1852' ',' 'because' 'Elector'
 'Frederick' 'William' 'expected' 'a' 'bribe' 'of' '100,000' 'thalers'
 'from' 'the' 'Bernus' 'du' 'Fay' 'bank' 'before' 'he' 'would' 'sign'
 'the' 'appropriate' 'license' 'for' 'the' 'extension' 'of' 'the'
 'railway' 'towards' 'Aschaffenburg' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
"Sean and Tiffany returned to Port Charles in 2008 ( on `` '' ) to help their friend Robert , who was battling colon cancer .","['Sean' 'and' 'Tiffany' 'returned' 'to' 'Port' 'Charles' 'in' '2008' '('
 'on' '``' ""''"" ')' 'to' 'help' 'their' 'friend' 'Robert' ',' 'who' 'was'
 'battling' 'colon' 'cancer' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
After graduating Delila spent a couple of years songwriting and gigging in New York City .,"['After' 'graduating' 'Delila' 'spent' 'a' 'couple' 'of' 'years'
 'songwriting' 'and' 'gigging' 'in' 'New' 'York' 'City' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"The photo was taken at the church `` Pequeña Obra de la Divina Providencia Don Orione `` in 1990 , not during the Dirty War , and after Videla 's presidential pardon .","['The' 'photo' 'was' 'taken' 'at' 'the' 'church' '``' 'Pequeña' 'Obra'
 'de' 'la' 'Divina' 'Providencia' 'Don' 'Orione' '``' 'in' '1990' ','
 'not' 'during' 'the' 'Dirty' 'War' ',' 'and' 'after' 'Videla' ""'s""
 'presidential' 'pardon' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"However , they do need to create a FEMA SID to take the final exams","['However' ',' 'they' 'do' 'need' 'to' 'create' 'a' 'FEMA' 'SID' 'to'
 'take' 'the' 'final' 'exams']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The highest mountain is Babia hora at the border with Poland at,"['The' 'highest' 'mountain' 'is' 'Babia' 'hora' 'at' 'the' 'border' 'with'
 'Poland' 'at']",[0 0 0 0 1 2 0 0 0 0 0 0]
He later went on to recreate the same music in 1992 on the large Servais Stradivarius and on a five-string violoncello piccolo .,"['He' 'later' 'went' 'on' 'to' 'recreate' 'the' 'same' 'music' 'in' '1992'
 'on' 'the' 'large' 'Servais' 'Stradivarius' 'and' 'on' 'a' 'five-string'
 'violoncello' 'piccolo' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"From then on , the 5-finger-shaped stone tablet , inscribed `` Mount Tai `` shigandang '' '' ( ) became a spiritual weapon to ward off evil and disasters .","['From' 'then' 'on' ',' 'the' '5-finger-shaped' 'stone' 'tablet' ','
 'inscribed' '``' 'Mount' 'Tai' '``' 'shigandang' ""''"" ""''"" '(' ')'
 'became' 'a' 'spiritual' 'weapon' 'to' 'ward' 'off' 'evil' 'and'
 'disasters' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The Sobaek Mountain range runs through this area .,['The' 'Sobaek' 'Mountain' 'range' 'runs' 'through' 'this' 'area' '.'],[0 1 2 0 0 0 0 0 0]
"Mount Bartle Frere is commemorated in the scientific names of two other species of lizards found on the mountain , `` Bellatorias frerei `` and `` Concinnia frerei `` .","['Mount' 'Bartle' 'Frere' 'is' 'commemorated' 'in' 'the' 'scientific'
 'names' 'of' 'two' 'other' 'species' 'of' 'lizards' 'found' 'on' 'the'
 'mountain' ',' '``' 'Bellatorias' 'frerei' '``' 'and' '``' 'Concinnia'
 'frerei' '``' '.']",[0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 1 2 0 0]
On its back side is a large unvisited spruce flat called the Klondike .,"['On' 'its' 'back' 'side' 'is' 'a' 'large' 'unvisited' 'spruce' 'flat'
 'called' 'the' 'Klondike' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0]
"At the same time , many Wes t German laws came into force in the GDR .","['At' 'the' 'same' 'time' ',' 'many' 'Wes' 't' 'German' 'laws' 'came'
 'into' 'force' 'in' 'the' 'GDR' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The heavy trains needed batteries of engines to get over the Big Hill .,"['The' 'heavy' 'trains' 'needed' 'batteries' 'of' 'engines' 'to' 'get'
 'over' 'the' 'Big' 'Hill' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 0]
"A mountain wave was used to set the record for highest altitude by a glider when Jim Payne and Tim Gardner soared to an altitude of on September 2 , 2018 over El Calafate , Argentina in the purpose-built Windward Performance Perlan II .","['A' 'mountain' 'wave' 'was' 'used' 'to' 'set' 'the' 'record' 'for'
 'highest' 'altitude' 'by' 'a' 'glider' 'when' 'Jim' 'Payne' 'and' 'Tim'
 'Gardner' 'soared' 'to' 'an' 'altitude' 'of' 'on' 'September' '2' ','
 '2018' 'over' 'El' 'Calafate' ',' 'Argentina' 'in' 'the' 'purpose-built'
 'Windward' 'Performance' 'Perlan' 'II' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0
 0 0 0 0 0 0 0]"
In the late 19th century it was part of the vast Molokai Ranch owned by King Kamehameha V and managed by the family of Rudolph Wilhelm Meyer .,"['In' 'the' 'late' '19th' 'century' 'it' 'was' 'part' 'of' 'the' 'vast'
 'Molokai' 'Ranch' 'owned' 'by' 'King' 'Kamehameha' 'V' 'and' 'managed'
 'by' 'the' 'family' 'of' 'Rudolph' 'Wilhelm' 'Meyer' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
It is drunk before dinner with appetizers at happy hour .,"['It' 'is' 'drunk' 'before' 'dinner' 'with' 'appetizers' 'at' 'happy'
 'hour' '.']",[0 0 0 0 0 0 0 0 0 0 0]
"Despite his royal title , Shamash-shum-ukin was a vassal to Ashurbanipal ; Ashurbanipal continued to offer the royal sacrifices in Babylon ( traditionally offered by the Babylonian monarch ) and the governors in the south were Assyrian .","['Despite' 'his' 'royal' 'title' ',' 'Shamash-shum-ukin' 'was' 'a'
 'vassal' 'to' 'Ashurbanipal' ';' 'Ashurbanipal' 'continued' 'to' 'offer'
 'the' 'royal' 'sacrifices' 'in' 'Babylon' '(' 'traditionally' 'offered'
 'by' 'the' 'Babylonian' 'monarch' ')' 'and' 'the' 'governors' 'in' 'the'
 'south' 'were' 'Assyrian' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
"The Saltfjellet–Svartisen National Park is located in the southeast in the Saltfjellet mountain range , surrounding the Svartisen glacier .","['The' 'Saltfjellet–Svartisen' 'National' 'Park' 'is' 'located' 'in' 'the'
 'southeast' 'in' 'the' 'Saltfjellet' 'mountain' 'range' ',' 'surrounding'
 'the' 'Svartisen' 'glacier' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0]
"The Geologic history of the Chiricahua Mountains concerns the Chiricahua Mountains , an inactive volcanic range located in Coronado National Forest of southeastern Arizona , in the United States .","['The' 'Geologic' 'history' 'of' 'the' 'Chiricahua' 'Mountains' 'concerns'
 'the' 'Chiricahua' 'Mountains' ',' 'an' 'inactive' 'volcanic' 'range'
 'located' 'in' 'Coronado' 'National' 'Forest' 'of' 'southeastern'
 'Arizona' ',' 'in' 'the' 'United' 'States' '.']",[0 0 0 0 0 1 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Reliable sources affirm that the city was founded between 1865 and 1870 , right around the annexation of Spain by Pedro Santana in 1861 .","['Reliable' 'sources' 'affirm' 'that' 'the' 'city' 'was' 'founded'
 'between' '1865' 'and' '1870' ',' 'right' 'around' 'the' 'annexation'
 'of' 'Spain' 'by' 'Pedro' 'Santana' 'in' '1861' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Their first record , Foghat ( 1973 album ) , was recorded in Rockfield Studios in South Wales and produced by Dave Edmunds .","['Their' 'first' 'record' ',' 'Foghat' '(' '1973' 'album' ')' ',' 'was'
 'recorded' 'in' 'Rockfield' 'Studios' 'in' 'South' 'Wales' 'and'
 'produced' 'by' 'Dave' 'Edmunds' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Mount Campbell features two hillside letters , the first of which is an `` R '' , painted on the southern face that points towards Reedley , the second is an `` S '' , pointed on the eastern face towards Sanger .","['Mount' 'Campbell' 'features' 'two' 'hillside' 'letters' ',' 'the'
 'first' 'of' 'which' 'is' 'an' '``' 'R' ""''"" ',' 'painted' 'on' 'the'
 'southern' 'face' 'that' 'points' 'towards' 'Reedley' ',' 'the' 'second'
 'is' 'an' '``' 'S' ""''"" ',' 'pointed' 'on' 'the' 'eastern' 'face'
 'towards' 'Sanger' '.']","[1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
"In general , distinguishing Reclus tephras from these of Aguilera , Lautaro or Viedma is difficult .","['In' 'general' ',' 'distinguishing' 'Reclus' 'tephras' 'from' 'these'
 'of' 'Aguilera' ',' 'Lautaro' 'or' 'Viedma' 'is' 'difficult' '.']",[0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0]
The sentence was overturned by the Spanish Constitutional Court in 1999 .,"['The' 'sentence' 'was' 'overturned' 'by' 'the' 'Spanish' 'Constitutional'
 'Court' 'in' '1999' '.']",[0 0 0 0 0 0 0 0 0 0 0 0]
"The trek to Chongtar Kangri was a transformative experience for me, as I marveled at the vast expanse of the Karakoram range and reflected on the awe-inspiring power of nature.","['The' 'trek' 'to' 'Chongtar' 'Kangri' 'was' 'a' 'transformative'
 'experience' 'for' 'me' ',' 'as' 'I' 'marveled' 'at' 'the' 'vast'
 'expanse' 'of' 'the' 'Karakoram' 'range' 'and' 'reflected' 'on' 'the'
 'awe' '-' 'inspiring' 'power' 'of' 'nature' '.']",[0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"As I stood at the base of Annapurna II, I felt a mix of awe and trepidation gazing up at the towering peak that seemed to touch the sky. Annapurna II, located in the Himalayas, is known for its unpredictable weather patterns, making it a formidable challenge for even the most experienced climbers.","['As' 'I' 'stood' 'at' 'the' 'base' 'of' 'Annapurna' 'II' ',' 'I' 'felt'
 'a' 'mix' 'of' 'awe' 'and' 'trepidation' 'gazing' 'up' 'at' 'the'
 'towering' 'peak' 'that' 'seemed' 'to' 'touch' 'the' 'sky' '.'
 'Annapurna' 'II' ',' 'located' 'in' 'the' 'Himalayas' ',' 'is' 'known'
 'for' 'its' 'unpredictable' 'weather' 'patterns' ',' 'making' 'it' 'a'
 'formidable' 'challenge' 'for' 'even' 'the' 'most' 'experienced'
 'climbers' '.']","[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
`` Samorost 3 `` is nominated for 6 Czech Game of the Year Awards .,"['``' 'Samorost' '3' '``' 'is' 'nominated' 'for' '6' 'Czech' 'Game' 'of'
 'the' 'Year' 'Awards' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
He participated in the Paris negotiations in February 1977 on the independence of the territory .,"['He' 'participated' 'in' 'the' 'Paris' 'negotiations' 'in' 'February'
 '1977' 'on' 'the' 'independence' 'of' 'the' 'territory' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The most prominent feature of the La Quinta area is its Santa Rosa Mountains .,"['The' 'most' 'prominent' 'feature' 'of' 'the' 'La' 'Quinta' 'area' 'is'
 'its' 'Santa' 'Rosa' 'Mountains' '.']",[0 0 0 0 0 0 0 0 0 0 0 1 2 2 0]
Lying just on the northern flank of Hoodoo Mountain is a small tuya known as Little Bear Mountain .,"['Lying' 'just' 'on' 'the' 'northern' 'flank' 'of' 'Hoodoo' 'Mountain'
 'is' 'a' 'small' 'tuya' 'known' 'as' 'Little' 'Bear' 'Mountain' '.']",[0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 1 2 2 0]
"He also pledged $ 100,000 to UNICEF .","['He' 'also' 'pledged' '$' '100,000' 'to' 'UNICEF' '.']",[0 0 0 0 0 0 0 0]
"In contrast to his father 's inspirations , young Mario was influenced by Mexican Modern Architects such as Luis Barragán , Max Cetto , and Mario Pani .","['In' 'contrast' 'to' 'his' 'father' ""'s"" 'inspirations' ',' 'young'
 'Mario' 'was' 'influenced' 'by' 'Mexican' 'Modern' 'Architects' 'such'
 'as' 'Luis' 'Barragán' ',' 'Max' 'Cetto' ',' 'and' 'Mario' 'Pani' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Lajos de Loczy was the first western geologist to describe the structure , geomorphology and stratigraphy of mountain chains bordering the Tibetan Plateau that links the Kunlun Mountains with the north-south-oriented belt of mountains and gorges in central China .","['Lajos' 'de' 'Loczy' 'was' 'the' 'first' 'western' 'geologist' 'to'
 'describe' 'the' 'structure' ',' 'geomorphology' 'and' 'stratigraphy'
 'of' 'mountain' 'chains' 'bordering' 'the' 'Tibetan' 'Plateau' 'that'
 'links' 'the' 'Kunlun' 'Mountains' 'with' 'the' 'north-south-oriented'
 'belt' 'of' 'mountains' 'and' 'gorges' 'in' 'central' 'China' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0
 0 0 0]"
"An Alien priory of Benedictine monks , a monastic cell or monastic grange dependent on Mont St Michel founded in the 11th Century through their ownership of Otterton Priory .","['An' 'Alien' 'priory' 'of' 'Benedictine' 'monks' ',' 'a' 'monastic'
 'cell' 'or' 'monastic' 'grange' 'dependent' 'on' 'Mont' 'St' 'Michel'
 'founded' 'in' 'the' '11th' 'Century' 'through' 'their' 'ownership' 'of'
 'Otterton' 'Priory' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0 0 0]
"Catharine is roughly 3 miles ( 5 km ) north of Interstate 70 and 6 miles ( 10 km ) northeast of Hays , the county seat .","['Catharine' 'is' 'roughly' '3' 'miles' '(' '5' 'km' ')' 'north' 'of'
 'Interstate' '70' 'and' '6' 'miles' '(' '10' 'km' ')' 'northeast' 'of'
 'Hays' ',' 'the' 'county' 'seat' '.']",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The highest point on the island is Mount Rebun ( ) .,"['The' 'highest' 'point' 'on' 'the' 'island' 'is' 'Mount' 'Rebun' '(' ')'
 '.']",[0 0 0 0 0 0 0 1 2 0 0 0]
"Four members have served as Kings of Cambodia , and three as Prime Ministers .","['Four' 'members' 'have' 'served' 'as' 'Kings' 'of' 'Cambodia' ',' 'and'
 'three' 'as' 'Prime' 'Ministers' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
It flows west from a source in the Sangre de Cristo Mountains to a confluence with the Rio Grande .,"['It' 'flows' 'west' 'from' 'a' 'source' 'in' 'the' 'Sangre' 'de' 'Cristo'
 'Mountains' 'to' 'a' 'confluence' 'with' 'the' 'Rio' 'Grande' '.']",[0 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0]
The rugged terrain of Kampire Dior makes it a challenging but breathtakingly beautiful destination for experienced hikers and adventure-seekers. Researchers studying the unique ecosystem of Kampire Dior have discovered several new species of plants and animals that are found nowhere else on Earth.,"['The' 'rugged' 'terrain' 'of' 'Kampire' 'Dior' 'makes' 'it' 'a'
 'challenging' 'but' 'breathtakingly' 'beautiful' 'destination' 'for'
 'experienced' 'hikers' 'and' 'adventure' '-' 'seekers' '.' 'Researchers'
 'studying' 'the' 'unique' 'ecosystem' 'of' 'Kampire' 'Dior' 'have'
 'discovered' 'several' 'new' 'species' 'of' 'plants' 'and' 'animals'
 'that' 'are' 'found' 'nowhere' 'else' 'on' 'Earth' '.']","[0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
"In a recent report, geologists revealed that Bularung Sar, located in the remote region of the Karakoram range, has been experiencing increased seismic activity, raising concerns about the potential for future landslides.","['In' 'a' 'recent' 'report' ',' 'geologists' 'revealed' 'that' 'Bularung'
 'Sar' ',' 'located' 'in' 'the' 'remote' 'region' 'of' 'the' 'Karakoram'
 'range' ',' 'has' 'been' 'experiencing' 'increased' 'seismic' 'activity'
 ',' 'raising' 'concerns' 'about' 'the' 'potential' 'for' 'future'
 'landslides' '.']",[0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Further details are unknown , since the composition of the material is classified .","['Further' 'details' 'are' 'unknown' ',' 'since' 'the' 'composition' 'of'
 'the' 'material' 'is' 'classified' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Greenwich Theatre is a local theatre located in Croom 's Hill close to the centre of Greenwich in south-east London .,"['Greenwich' 'Theatre' 'is' 'a' 'local' 'theatre' 'located' 'in' 'Croom'
 ""'s"" 'Hill' 'close' 'to' 'the' 'centre' 'of' 'Greenwich' 'in'
 'south-east' 'London' '.']",[0 0 0 0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0 0 0]
This is repeated until all of the stalk has been removed and the flax is smooth and silky .,"['This' 'is' 'repeated' 'until' 'all' 'of' 'the' 'stalk' 'has' 'been'
 'removed' 'and' 'the' 'flax' 'is' 'smooth' 'and' 'silky' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Radoy Ralin Peak ( , ) is a 720 m peak in the Levski Ridge in Tangra Mountains on Livingston Island in the South Shetland Islands , Antarctica surmounting Iskar Glacier to the east and the Huron Glacier terminus to the north-northwest .","['Radoy' 'Ralin' 'Peak' '(' ',' ')' 'is' 'a' '720' 'm' 'peak' 'in' 'the'
 'Levski' 'Ridge' 'in' 'Tangra' 'Mountains' 'on' 'Livingston' 'Island'
 'in' 'the' 'South' 'Shetland' 'Islands' ',' 'Antarctica' 'surmounting'
 'Iskar' 'Glacier' 'to' 'the' 'east' 'and' 'the' 'Huron' 'Glacier'
 'terminus' 'to' 'the' 'north-northwest' '.']","[1 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
KLIV became an affiliate of the Santa Clara Broncos radio network in the 2012–13 season .,"['KLIV' 'became' 'an' 'affiliate' 'of' 'the' 'Santa' 'Clara' 'Broncos'
 'radio' 'network' 'in' 'the' '2012–13' 'season' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
The U.S . procured around 2.7 million M1911 and M1911A1 pistols in military contracts during its service life .,"['The' 'U.S' '.' 'procured' 'around' '2.7' 'million' 'M1911' 'and'
 'M1911A1' 'pistols' 'in' 'military' 'contracts' 'during' 'its' 'service'
 'life' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
"Similar instruments are found in other parts of Northern Europe ; in America , the scheitholt was probably brought to Pennsylvania by German settlers and spread into the Appalachian mountain region , where it later evolved into the Appalachian dulcimer in the late 18th century .","['Similar' 'instruments' 'are' 'found' 'in' 'other' 'parts' 'of'
 'Northern' 'Europe' ';' 'in' 'America' ',' 'the' 'scheitholt' 'was'
 'probably' 'brought' 'to' 'Pennsylvania' 'by' 'German' 'settlers' 'and'
 'spread' 'into' 'the' 'Appalachian' 'mountain' 'region' ',' 'where' 'it'
 'later' 'evolved' 'into' 'the' 'Appalachian' 'dulcimer' 'in' 'the' 'late'
 '18th' 'century' '.']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
It is native to the Eastern Arc Mountains and coastal forests of Kenya and Tanzania .,"['It' 'is' 'native' 'to' 'the' 'Eastern' 'Arc' 'Mountains' 'and' 'coastal'
 'forests' 'of' 'Kenya' 'and' 'Tanzania' '.']",[0 0 0 0 0 1 2 2 0 0 0 0 0 0 0 0]
The western pulse hit coastal Africa and other western areas .,"['The' 'western' 'pulse' 'hit' 'coastal' 'Africa' 'and' 'other' 'western'
 'areas' '.']",[0 0 0 0 0 0 0 0 0 0 0]
"The centerpiece of the Ansel Adams wilderness is the Ritter Range , which includes dark metavolcanic glaciated mountains such as Mount Ritter , Banner Peak , and The Minarets .","['The' 'centerpiece' 'of' 'the' 'Ansel' 'Adams' 'wilderness' 'is' 'the'
 'Ritter' 'Range' ',' 'which' 'includes' 'dark' 'metavolcanic' 'glaciated'
 'mountains' 'such' 'as' 'Mount' 'Ritter' ',' 'Banner' 'Peak' ',' 'and'
 'The' 'Minarets' '.']",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 2 0 0 0 1 0]
